Feature Name,Shap value,weight,gain,cover,total_gain,total_cover
@attribute pcm_zcr_sma_de_peakRangeRel numeric,0.00076202,1,0.883337021,1330,0.883337021,1330
@attribute audspecRasta_lengthL1norm_sma_quartile1 numeric,0.000733587,1,0.555594325,16,0.555594325,16
@attribute pcm_fftMag_spectralSkewness_sma_qregc3 numeric,0.000690544,1,0.295283973,27,0.295283973,27
@attribute audSpec_Rfilt_sma_de[12]_peakRangeRel numeric,0.00067913,1,0.487163782,35,0.487163782,35
@attribute audSpec_Rfilt_sma[13]_lpgain numeric,0.00065719,1,0.308226794,1295,0.308226794,1295
@attribute pcm_fftMag_spectralVariance_sma_range numeric,0.000638415,1,0.73640269,1119,0.73640269,1119
@attribute pcm_fftMag_spectralKurtosis_sma_peakMeanMeanDist numeric,0.000616125,1,0.413334399,1330,0.413334399,1330
@attribute audSpec_Rfilt_sma[19]_minPos numeric,0.0005893,1,0.760017276,1330,0.760017276,1330
@attribute audspec_lengthL1norm_sma_de_meanRisingSlope numeric,0.000573997,1,0.358050197,1330,0.358050197,1330
@attribute pcm_fftMag_spectralKurtosis_sma_linregc1 numeric,0.00056523,1,0.284590483,1330,0.284590483,1330
@attribute audspecRasta_lengthL1norm_sma_de_lpc0 numeric,0.000546952,1,0.879844904,12,0.879844904,12
@attribute mfcc_sma[2]_lpc2 numeric,0.000519563,1,0.439446568,23,0.439446568,23
@attribute audSpec_Rfilt_sma[0]_maxPos numeric,0.000489432,1,0.514279604,1330,0.514279604,1330
@attribute audspec_lengthL1norm_sma_leftctime numeric,0.000487373,1,0.960110188,23,0.960110188,23
@attribute audSpec_Rfilt_sma[8]_minRangeRel numeric,0.000476519,1,0.255015016,26,0.255015016,26
@attribute pcm_RMSenergy_sma_iqr1-2 numeric,0.000443091,1,0.301709265,1330,0.301709265,1330
@attribute pcm_RMSenergy_sma_upleveltime90 numeric,0.000413161,1,0.188143015,19,0.188143015,19
@attribute pcm_fftMag_spectralRollOff75.0_sma_upleveltime75 numeric,0.000366831,1,0.074845433,31,0.074845433,31
@attribute audspecRasta_lengthL1norm_sma_maxPos numeric,0.000324066,1,0.175449252,10,0.175449252,10
@attribute mfcc_sma[6]_minPos numeric,0.000319397,1,0.101224005,18,0.101224005,18
@attribute audspec_lengthL1norm_sma_lpc0 numeric,0.000275772,2,0.0727164,6.5,0.1454328,13
@attribute audspec_lengthL1norm_sma_percentile99.0 numeric,0.000275314,1,0.221500084,8,0.221500084,8
@attribute audSpec_Rfilt_sma[7]_lpc4 numeric,0.000273154,1,0.122567415,14,0.122567415,14
@attribute audSpec_Rfilt_sma[4]_lpc0 numeric,0.000215668,1,0.021040797,14,0.021040797,14
@attribute audspec_lengthL1norm_sma_de_risetime numeric,0.000187452,1,0.08378467,9,0.08378467,9
@attribute audSpec_Rfilt_sma[16]_percentile1.0 numeric,0.000168175,1,0.068053588,9,0.068053588,9
@attribute audspec_lengthL1norm_sma_maxPos numeric,9.77E-05,1,0.018804565,8,0.018804565,8
@attribute audspec_lengthL1norm_sma_risetime numeric,8.27E-05,1,0.017634902,8,0.017634902,8
