Feature name,Shap value,@attribute name string,key
3077,0.0025842248,@attribute pcm_fftMag_spectralSkewness_sma_de_iqr1-3 numeric,3077
555,0.0024792603,@attribute audSpec_Rfilt_sma[9]_lpc2 numeric,555
641,0.002265969,@attribute audSpec_Rfilt_sma[12]_upleveltime75 numeric,641
1649,0.002258584,@attribute mfcc_sma[5]_iqr1-2 numeric,1649
650,0.0021845854,@attribute audSpec_Rfilt_sma[12]_lpc4 numeric,650
3329,0.0021282174,@attribute mfcc_sma_de[4]_stddev numeric,3329
2557,0.002097945,@attribute audSpec_Rfilt_sma_de[19]_meanSegLen numeric,2557
4812,0.0020759203,@attribute audSpec_Rfilt_sma[25]_stddevFallingSlope numeric,4812
5398,0.002028688,@attribute mfcc_sma[11]_rqmean numeric,5398
519,0.0020020662,@attribute audSpec_Rfilt_sma[8]_risetime numeric,519
2248,0.001962606,@attribute audSpec_Rfilt_sma_de[9]_maxSegLen numeric,2248
1836,0.0018873726,@attribute mfcc_sma[11]_iqr2-3 numeric,1836
1351,0.0018802942,@attribute pcm_fftMag_spectralVariance_sma_segLenStddev numeric,1351
1529,0.0018518163,@attribute mfcc_sma[1]_percentile99.0 numeric,1529
1853,0.0018482277,@attribute mfcc_sma[11]_leftctime numeric,1853
3066,0.0018043043,@attribute pcm_fftMag_spectralVariance_sma_de_lpc2 numeric,3066
1553,0.0017689908,@attribute mfcc_sma[2]_quartile1 numeric,1553
2101,0.0017240851,@attribute audSpec_Rfilt_sma_de[4]_leftctime numeric,2101
1919,0.0017169054,@attribute mfcc_sma[13]_lpc2 numeric,1919
5483,0.001710902,@attribute mfcc_sma[14]_qregc1 numeric,5483
4816,0.0016935985,@attribute audSpec_Rfilt_sma[25]_qregc1 numeric,4816
666,0.001674657,@attribute audSpec_Rfilt_sma[13]_meanSegLen numeric,666
4574,0.0016480043,@attribute audSpec_Rfilt_sma[15]_peakRangeRel numeric,4574
5204,0.001599217,@attribute mfcc_sma[2]_linregc1 numeric,5204
5135,0.0015959586,@attribute pcm_fftMag_psySharpness_sma_linregc1 numeric,5135
489,0.0015913045,@attribute audSpec_Rfilt_sma[7]_leftctime numeric,489
1603,0.001587785,@attribute mfcc_sma[3]_upleveltime90 numeric,1603
5260,0.0015328891,@attribute mfcc_sma[5]_rqmean numeric,5260
1811,0.001477398,@attribute mfcc_sma[10]_skewness numeric,1811
6103,0.0014699185,@attribute pcm_fftMag_spectralKurtosis_sma_de_flatness numeric,6103
1043,0.0014602582,@attribute audSpec_Rfilt_sma[25]_upleveltime50 numeric,1043
3378,0.0014035872,@attribute mfcc_sma_de[5]_lpc4 numeric,3378
2285,0.0013806941,@attribute audSpec_Rfilt_sma_de[10]_upleveltime90 numeric,2285
6012,0.0013345376,@attribute pcm_fftMag_spectralRollOff75.0_sma_de_stddevFallingSlope numeric,6012
3701,0.0013269901,@attribute voicingFinalUnclipped_sma_range numeric,3701
445,0.0013142312,@attribute audSpec_Rfilt_sma[6]_pctlrange0-1 numeric,445
2759,0.0013038794,@attribute pcm_fftMag_fband250-650_sma_de_range numeric,2759
3948,0.0012800731,@attribute voicingFinalUnclipped_sma_de_quartile3 numeric,3948
804,0.0012167129,@attribute audSpec_Rfilt_sma[17]_lpc3 numeric,804
5299,0.0012059258,@attribute mfcc_sma[6]_qregc1 numeric,5299
2792,0.0011153304,@attribute pcm_fftMag_fband1000-4000_sma_de_minPos numeric,2792
2745,0.0010724625,@attribute audSpec_Rfilt_sma_de[25]_minSegLen numeric,2745
2169,0.0010389059,@attribute audSpec_Rfilt_sma_de[6]_lpc4 numeric,2169
1428,0.0010184981,@attribute pcm_fftMag_spectralSlope_sma_minPos numeric,1428
2648,0.0009866825,@attribute audSpec_Rfilt_sma_de[22]_skewness numeric,2648
135,0.0009652202,@attribute audspec_lengthL1norm_sma_de_pctlrange0-1 numeric,135
2050,0.0009141007,@attribute audSpec_Rfilt_sma_de[3]_quartile2 numeric,2050
4864,0.00091306516,@attribute pcm_fftMag_fband1000-4000_sma_qregc3 numeric,4864
2191,0.0008900977,@attribute audSpec_Rfilt_sma_de[7]_upleveltime75 numeric,2191
5433,0.0008891771,@attribute mfcc_sma[12]_stddevFallingSlope numeric,5433
1266,0.0008878223,@attribute pcm_fftMag_spectralFlux_sma_lpc0 numeric,1266
5809,0.00088699267,@attribute audSpec_Rfilt_sma_de[17]_peakRangeRel numeric,5809
1954,0.00087642804,@attribute audSpec_Rfilt_sma_de[0]_maxPos numeric,1954
5532,0.0008758037,@attribute pcm_RMSenergy_sma_de_stddevFallingSlope numeric,5532
536,0.00086658914,@attribute audSpec_Rfilt_sma[9]_percentile1.0 numeric,536
1270,0.00085321674,@attribute pcm_fftMag_spectralFlux_sma_lpc4 numeric,1270
4968,0.00083971303,@attribute pcm_fftMag_spectralFlux_sma_peakMeanRel numeric,4968
2081,0.0008380527,@attribute audSpec_Rfilt_sma_de[4]_quartile2 numeric,2081
5009,0.00083294784,@attribute pcm_fftMag_spectralEntropy_sma_peakDistStddev numeric,5009
2019,0.0008297657,@attribute audSpec_Rfilt_sma_de[2]_quartile2 numeric,2019
642,0.00078671804,@attribute audSpec_Rfilt_sma[12]_upleveltime90 numeric,642
5539,0.00076202035,@attribute pcm_zcr_sma_de_peakRangeRel numeric,5539
34,0.000733587,@attribute audspecRasta_lengthL1norm_sma_quartile1 numeric,34
5071,0.0006905443,@attribute pcm_fftMag_spectralSkewness_sma_qregc3 numeric,5071
5734,0.00067913026,@attribute audSpec_Rfilt_sma_de[12]_peakRangeRel numeric,5734
676,0.00065718987,@attribute audSpec_Rfilt_sma[13]_lpgain numeric,676
1333,0.00063841505,@attribute pcm_fftMag_spectralVariance_sma_range numeric,1333
5082,0.0006161251,@attribute pcm_fftMag_spectralKurtosis_sma_peakMeanMeanDist numeric,5082
839,0.0005893003,@attribute audSpec_Rfilt_sma[19]_minPos numeric,839
5499,0.0005739965,@attribute audspec_lengthL1norm_sma_de_meanRisingSlope numeric,5499
5089,0.00056523003,@attribute pcm_fftMag_spectralKurtosis_sma_linregc1 numeric,5089
181,0.0005469524,@attribute audspecRasta_lengthL1norm_sma_de_lpc0 numeric,181
1578,0.0005195631,@attribute mfcc_sma[2]_lpc2 numeric,1578
249,0.00048943236,@attribute audSpec_Rfilt_sma[0]_maxPos numeric,249
24,0.00048737347,@attribute audspec_lengthL1norm_sma_leftctime numeric,24
4417,0.0004765194,@attribute audSpec_Rfilt_sma[8]_minRangeRel numeric,4417
68,0.00044309124,@attribute pcm_RMSenergy_sma_iqr1-2 numeric,68
84,0.0004131609,@attribute pcm_RMSenergy_sma_upleveltime90 numeric,84
1199,0.00036683117,@attribute pcm_fftMag_spectralRollOff75.0_sma_upleveltime75 numeric,1199
32,0.00032406632,@attribute audspecRasta_lengthL1norm_sma_maxPos numeric,32
1676,0.00031939702,@attribute mfcc_sma[6]_minPos numeric,1676
26,0.00027577218,@attribute audspec_lengthL1norm_sma_lpc0 numeric,26
10,0.00027531377,@attribute audspec_lengthL1norm_sma_percentile99.0 numeric,10
495,0.0002731542,@attribute audSpec_Rfilt_sma[7]_lpc4 numeric,495
398,0.00021566813,@attribute audSpec_Rfilt_sma[4]_lpc0 numeric,398
147,0.00018745221,@attribute audspec_lengthL1norm_sma_de_risetime numeric,147
753,0.00016817487,@attribute audSpec_Rfilt_sma[16]_percentile1.0 numeric,753
1,9.770576e-05,@attribute audspec_lengthL1norm_sma_maxPos numeric,1
23,8.266173e-05,@attribute audspec_lengthL1norm_sma_risetime numeric,23
