Feature ID,Feature Name,Shap value,weight,gain,cover,total_gain,total_cover,,
5515,udspecRasta_lengthL1norm_sma_de_stddevRisingSlope numeric,0.1749088,4,59.07317352,1330,236.2926941,5320,,
5267,fcc_sma[5]_peakMeanRel numeric,0.066608705,2,33.78628922,908,67.57257843,1816,,
1622,fcc_sma[4]_percentile99.0 numeric,0.027021766,1,9.735995293,1330,9.735995293,1330,,
5064,cm_fftMag_spectralSkewness_sma_meanFallingSlope numeric,0.01917158,1,5.615310669,1330,5.615310669,1330,,
1449,cm_fftMag_spectralSlope_sma_risetime numeric,0.016092975,1,3.445723057,1330,3.445723057,1330,,
2640,udSpec_Rfilt_sma_de[22]_quartile3 numeric,0.015471268,2,6.0129776,374,12.0259552,748,,
2949,cm_fftMag_spectralFlux_sma_de_quartile2 numeric,0.014841603,1,6.25514555,747,6.25514555,747,,
150,udspec_lengthL1norm_sma_de_lpc0 numeric,0.014638417,1,13.98928738,328,13.98928738,328,,
612,udSpec_Rfilt_sma[11]_risetime numeric,0.014299023,3,1.715965867,611,5.14789772,1833,,
2671,udSpec_Rfilt_sma_de[23]_quartile3 numeric,0.014214776,1,9.673725128,679,9.673725128,679,,
1620,fcc_sma[4]_iqr1-3 numeric,0.013853458,2,7.019974709,430,14.03994942,860,,
3698,oicingFinalUnclipped_sma_flatness numeric,0.013512484,1,8.57629776,498,8.57629776,498,,
252,udSpec_Rfilt_sma[0]_quartile2 numeric,0.013094406,1,2.308807135,1330,2.308807135,1330,,
3731,oicingFinalUnclipped_sma_lpc0 numeric,0.01280389,1,7.025602341,596,7.025602341,596,,
1497,cm_fftMag_spectralHarmonicity_sma_percentile1.0 numeric,0.012099205,1,11.92963409,258,11.92963409,258,,
1284,cm_fftMag_spectralCentroid_sma_skewness numeric,0.011240978,2,0.81099081,942,1.621981621,1884,,
5219,fcc_sma[3]_peakMeanAbs numeric,0.011181817,1,14.97934723,451,14.97934723,451,,
5755,udSpec_Rfilt_sma_de[13]_stddevRisingSlope numeric,0.010769798,1,1.756378412,1330,1.756378412,1330,,
1588,fcc_sma[3]_iqr2-3 numeric,0.010016562,1,5.267727852,738,5.267727852,738,,
3094,cm_fftMag_spectralSkewness_sma_de_lpgain numeric,0.009126852,1,1.210110903,1330,1.210110903,1330,,
3730,oicingFinalUnclipped_sma_lpgain numeric,0.007829903,1,2.564095974,611,2.564095974,611,,
2038,udSpec_Rfilt_sma_de[2]_risetime numeric,0.007798587,1,1.246006727,1330,1.246006727,1330,,
4182,cm_RMSenergy_sma_peakRangeAbs numeric,0.007496908,1,7.285607815,734,7.285607815,734,,
